,regionName,year,estL,est,estU,wpp_lb,estNL,estN,estNU
162,Global,2014,0.13786497,0.147607306,0.16018211,143230932,19746528.18,21141932,22943032.98
163,Global,2015,0.137749007,0.14756105,0.160204162,142172491,19584119.45,20979122,22776624.8
164,Global,2016,0.136444253,0.146215251,0.158835973,142813023,19486016.28,20881442,22683845.4
165,Global,2017,0.135197228,0.145056195,0.157782639,142218173,19227502.75,20629627,22439558.63
166,Global,2018,0.136321599,0.146457713,0.159605623,139242711,18981789.05,20393169,22223919.63
167,Global,2019,0.135859244,0.146201805,0.159706502,137605292,18694951,20118142,21976459.78
168,Global,2020,0.136542518,0.147171562,0.161109336,134767014,18401427.38,19833872,21712224.18
169,Melanesia,2000,0.134936715,0.165522173,0.201270279,229359,30948.95,37964,46163.15
170,Melanesia,2001,0.136839995,0.166467423,0.200710685,235055,32164.925,39129,47178.05
171,Melanesia,2002,0.138790715,0.167337546,0.200403774,240729,33410.95,40283,48243
172,Melanesia,2003,0.140766347,0.168205507,0.199776892,246181,34654,41409,49181.275
173,Melanesia,2004,0.142688511,0.169122877,0.199328871,250250,35707.8,42323,49882.05
174,Melanesia,2005,0.144522125,0.170061699,0.198973248,254784,36821.925,43329,50695.2
175,Melanesia,2006,0.146102572,0.170697703,0.19845447,259652,37935.825,44322,51529.1
176,Melanesia,2007,0.147729435,0.17153654,0.198153188,263833,38975.9,45257,52279.35
177,Melanesia,2008,0.14932991,0.172417388,0.197977348,268546,40101.95,46302,53166.025
178,Melanesia,2009,0.151049213,0.173400111,0.197990156,272347,41137.8,47225,53922.025
179,Melanesia,2010,0.152713038,0.174399388,0.198171552,277134,42321.975,48332,54920.075
180,Melanesia,2011,0.154243065,0.175329249,0.198464393,281094,43356.8,49284,55787.15
181,Melanesia,2012,0.15546253,0.17605869,0.198503756,284479,44225.825,50085,56470.15
182,Melanesia,2013,0.156556348,0.176776725,0.198699528,288030,45092.925,50917,57231.425
183,Melanesia,2014,0.157272289,0.177355225,0.199093035,291246,45804.925,51654,57985.05
184,Melanesia,2015,0.158008475,0.178025613,0.19976467,293205,46328.875,52198,58572
185,Melanesia,2016,0.15843391,0.178647687,0.20049517,295050,46745.925,52710,59156.1
186,Melanesia,2017,0.158669506,0.17920466,0.201437268,296326,47017.9,53103,59691.1
187,Melanesia,2018,0.158896548,0.179694802,0.202363105,298495,47429.825,53638,60404.375
188,Melanesia,2019,0.158598888,0.180013607,0.20335958,299844,47554.925,53976,60976.15
189,Melanesia,2020,0.158323472,0.180392586,0.20459989,301692,47764.925,54423,61726.15
190,Micronesia,2000,0.087213936,0.12569737,0.185477627,8783,766,1104,1629.05
191,Micronesia,2001,0.087677848,0.125968768,0.185887796,8645,757.975,1089,1607
192,Micronesia,2002,0.088176353,0.126252505,0.186022044,8483,748,1071,1578.025
193,Micronesia,2003,0.088636364,0.126674641,0.186244019,8360,741,1059,1557
194,Micronesia,2004,0.089048474,0.126511071,0.185517654,8355,744,1057,1550
195,Micronesia,2005,0.089469897,0.126409211,0.18469657,8338,746,1054,1540
196,Micronesia,2006,0.08977136,0.12599278,0.183273165,8310,746,1047,1523
197,Micronesia,2007,0.090194485,0.125722543,0.181843088,8304,748.975,1044,1510.025
198,Micronesia,2008,0.090426174,0.125558373,0.180493179,8283,749,1040,1495.025
199,Micronesia,2009,0.090898044,0.125288613,0.179608701,8229,748,1031,1478
200,Micronesia,2010,0.091351931,0.12507664,0.1781729,8155,744.975,1020,1453
201,Micronesia,2011,0.091524173,0.124861607,0.177023619,8129,744,1015,1439.025
202,Micronesia,2012,0.091454273,0.124312844,0.176286857,8004,732,995,1411
203,Micronesia,2013,0.091427847,0.124017246,0.175377251,7886,721,978,1383.025
204,Micronesia,2014,0.091366628,0.123499806,0.174732224,7749,708,957,1354
205,Micronesia,2015,0.091099751,0.123214052,0.17381046,7629,695,940,1326
206,Micronesia,2016,0.091269317,0.122969225,0.17329613,7571,691,931,1312.025
207,Micronesia,2017,0.091163535,0.1227509,0.172864188,7503,684,921,1297
208,Micronesia,2018,0.091661107,0.122615077,0.172248165,7495,687,919,1291
209,Micronesia,2019,0.091834745,0.122764556,0.171712384,7437,682.975,913,1277.025
210,Micronesia,2020,0.091885279,0.122740247,0.17154071,7357,676,903,1262.025
211,Middle Africa,2000,0.130955763,0.140417933,0.151115335,4366871,571866.925,613187,659901.175
212,Middle Africa,2001,0.130565129,0.139759469,0.150120497,4484748,585551.7,626786,673252.6
213,Middle Africa,2002,0.129860428,0.138787842,0.148938406,4609532,598595.8,639747,686536.35
214,Middle Africa,2003,0.128983144,0.137687949,0.147648667,4740640,611462.65,652729,699949.175
215,Middle Africa,2004,0.128047155,0.136601227,0.14638074,4876984,624483.925,666202,713896.525
216,Middle Africa,2005,0.127013239,0.135433509,0.14506114,5029420,638802.925,681152,729573.4
217,Middle Africa,2006,0.125944684,0.134247631,0.143743151,5193641,654111.475,697234,746550.325
218,Middle Africa,2007,0.124896141,0.133149421,0.142635133,5350748,668287.775,712449,763204.65
219,Middle Africa,2008,0.123762996,0.1320692,0.1415612,5514715,682517.65,728324,780669.675
220,Middle Africa,2009,0.122652793,0.131016914,0.140618859,5691456,698072.975,745677,800326.05
221,Middle Africa,2010,0.121527957,0.130008877,0.139780049,5860246,712183.725,761884,819145.475
222,Middle Africa,2011,0.120385295,0.128988006,0.138883213,6034313,726442.55,778354,838064.775
223,Middle Africa,2012,0.11913776,0.127985177,0.138081735,6198335,738455.75,793295,855876.85
224,Middle Africa,2013,0.117985117,0.127077131,0.137588841,6326756,746463.05,803986,870491.025
225,Middle Africa,2014,0.11679155,0.126147688,0.136958509,6482378,757086.975,817737,887816.825
226,Middle Africa,2015,0.115594008,0.125305043,0.136496333,6631034,766507.8,830902,905111.825
227,Middle Africa,2016,0.114529206,0.124522132,0.136070098,6790841,777749.625,845610,924030.4
228,Middle Africa,2017,0.113580477,0.123833843,0.135754311,6970114,791668.875,863136,946223.025
229,Middle Africa,2018,0.112610895,0.123230701,0.135620129,7126552,802527.4,878210,966503.9
230,Middle Africa,2019,0.111735303,0.122703016,0.135534939,7284499,813935.7,893830,987304.125
231,Middle Africa,2020,0.110865077,0.122164134,0.135423878,7436618,824461.225,908488,1007095.65
232,Northern Africa,2000,0.109830844,0.141758881,0.184277143,4458994,489735.075,632102,821690.675
233,Northern Africa,2001,0.109707047,0.141900505,0.184901865,4516263,495465.875,640860,835065.45
234,Northern Africa,2002,0.109714218,0.142008184,0.185127362,4553308,499562.625,646607,842941.9
235,Northern Africa,2003,0.109571109,0.141760339,0.184883324,4628382,507136.95,656121,855710.65
236,Northern Africa,2004,0.109208316,0.141361196,0.184321296,4683131,511436.85,662013,863200.775
237,Northern Africa,2005,0.108804496,0.140946485,0.183741423,4780552,520145.55,673802,878385.425
238,Northern Africa,2006,0.108402687,0.140480441,0.183361882,4904455,531656.1,688980,899290.1
239,Northern Africa,2007,0.107971303,0.140063236,0.182977731,5071188,547542.775,710287,927914.475
240,Northern Africa,2008,0.107667869,0.139586167,0.182435143,5210939,561050.7,727375,950658.4
241,Northern Africa,2009,0.107430797,0.139311577,0.182085886,5360660,575899.975,746802,976100.525
242,Northern Africa,2010,0.107359534,0.139447661,0.182382649,5567917,597768.975,776433,1015491.45
243,Northern Africa,2011,0.107310758,0.139420666,0.182330699,5700647,611740.75,794788,1039402.95
244,Northern Africa,2012,0.107411413,0.139677678,0.183120749,5836158,626869.975,815181,1068721.625
